name,type,franchise,brand,year,condition,acquired,cost,value,notes,isSold,soldDate,soldPrice,ebayListed,ebaySold
Fantasy Skaven Screaming Bell Oldhammer Sealed Boxed OOP,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,15/07/21,£42,,,TRUE,15/07/21,42,,
Wood Elves Box of 8,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,13/07/21,£20,,,FALSE,,,,
Retro Fantasy Goblins Plastic Kit Box x2 Retrohammer Collector Sealed,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,18/08/21,£70,,,FALSE,,,,
Fantasy Goblins Night Goblins x4 BNIB Oldhammer Blister Pack Unopened,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,22/08/21,£36,,,FALSE,,,,
Fantasy AOS Skaven Oldhammer Sealed Plastic Figures Rare OOP,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,30/08/21,£20,,,FALSE,,,,
Sealed High Elves Archers,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,02/09/21,£69,,,FALSE,,,,
Sealed Dark Elf Cold One Knights,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,02/09/21,£69,,,TRUE,24/03/24,102,,
Sealed Dark Elf Dragonrider,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,02/09/21,£69,,,FALSE,,,,
Sealed High Elf Lord Dragons,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,02/09/21,£69,,,TRUE,02/09/24,171,,
Sealed High Elf Battle Chariot,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,02/09/21,£69,,,FALSE,,,,
Sealed Skaven Doomwheel,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,02/09/21,£69,,,FALSE,,,,
Fantasy Orc Boar Boyz (sealed),Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,02/09/21,£11,,,TRUE,25/01/24,100,,
